element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
421,7,12,1,False,2021-04-12T17:00:00Z,2,0,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,50,0,309,0,0
421,11,10,0,True,2021-04-18T13:00:00Z,0,1,2,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50,-19,302,2,21
421,24,4,2,False,2021-04-26T16:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,7,1,50,-83,220,0,83
421,32,14,2,False,2021-05-03T16:30:00Z,1,0,4,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,50,-17,203,0,17
421,37,7,5,True,2021-05-09T13:00:00Z,2,0,5,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,50,-13,190,0,13
421,48,9,2,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,50,-1,190,1,2
421,49,8,6,True,2021-05-18T16:30:00Z,3,0,7,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,50,-5,185,2,7
421,61,15,6,False,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,50,3,190,5,2
421,66,11,2,True,2021-07-03T15:30:00Z,3,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,5,49,6,196,7,1
421,75,2,0,False,2021-07-11T13:00:00Z,5,1,10,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,49,3,199,4,1
421,82,1,0,True,2021-07-17T13:00:00Z,0,5,11,60,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,49,-5,195,2,7
421,91,3,0,False,2021-07-24T15:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-9,187,1,10
421,98,13,0,True,2021-07-31T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-5,182,2,7
421,108,5,0,False,2021-08-08T15:30:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-6,176,0,6
421,113,6,7,True,2021-08-15T13:00:00Z,3,0,15,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,48,-6,170,0,6
421,126,1,2,False,2021-08-21T13:00:00Z,3,0,16,90,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,9,4,48,1,172,4,3
