element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
422,6,13,1,True,2021-04-11T13:00:00Z,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,34,0,0
422,9,2,0,False,2021-04-17T13:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,41,3,1
422,23,5,0,False,2021-04-26T16:30:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-3,39,0,3
422,32,16,6,True,2021-05-03T16:30:00Z,1,0,4,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,8,45,-4,36,1,5
422,39,11,6,True,2021-05-09T13:00:00Z,1,0,5,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,2,44,7,44,13,6
422,47,15,2,False,2021-05-13T15:00:00Z,1,1,6,90,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,7,4,44,17,63,18,1
422,54,6,0,True,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-6,58,1,7
422,57,12,2,False,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,11,5,44,-3,55,1,4
422,71,3,3,False,2021-07-04T15:30:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,7,44,1,56,3,2
422,79,9,1,True,2021-07-11T13:00:00Z,0,1,10,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,44,13,69,17,4
422,86,4,1,False,2021-07-18T16:00:00Z,3,2,11,90,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,7,1,44,2,71,5,3
422,93,1,2,True,2021-07-24T13:00:00Z,0,2,12,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,6,44,4,75,7,3
422,102,10,2,False,2021-08-01T15:30:00Z,1,0,13,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,44,26,101,35,9
422,112,8,2,False,2021-08-07T15:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9,3,44,-1,100,2,3
422,118,7,2,True,2021-08-15T13:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,44,-1,99,2,3
422,122,7,7,False,2021-08-23T17:00:00Z,0,0,16,90,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,5,14,44,-6,94,5,11
