element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
425,7,16,6,True,2021-04-12T17:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,65,0,1609,0,0
425,15,4,2,False,2021-04-19T17:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,7,65,25,1851,102,77
425,18,2,7,True,2021-04-25T15:30:00Z,2,0,3,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,4,65,-111,1776,31,142
425,26,5,7,True,2021-05-02T15:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,3,65,1,1810,65,64
425,40,9,1,False,2021-05-10T16:30:00Z,2,0,5,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,65,-3,1831,67,70
425,46,1,3,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,7,65,-24,1814,23,47
425,56,11,3,False,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,2,65,-51,1771,30,81
425,57,14,4,True,2021-05-22T13:00:00Z,2,2,8,90,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,5,5,65,21,1802,68,47
425,65,6,0,False,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,30,1839,87,57
425,73,13,1,True,2021-07-10T15:30:00Z,2,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,64,-163,1676,8,171
425,81,10,13,True,2021-07-18T15:30:00Z,2,0,11,90,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,64,-73,1609,11,84
425,95,8,2,False,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,5,5,64,418,2050,453,35
425,97,15,7,True,2021-08-02T17:00:00Z,1,0,13,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,9,4,65,199,2269,231,32
425,106,7,9,False,2021-08-08T13:00:00Z,1,4,14,90,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,3,65,-67,2216,56,123
425,115,3,6,False,2021-08-16T17:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,67,2094,4339,2133,39
425,121,6,4,True,2021-08-22T15:30:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,3,67,499,4867,614,115
