element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
429,8,11,6,True,2021-04-12T17:00:00Z,0.0,0.0,1,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,50,0,113,0,0
429,11,16,7,False,2021-04-18T13:00:00Z,0.0,1.0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,6,2,50,6,138,8,2
429,20,8,6,True,2021-04-25T13:00:00Z,1.0,0.0,3,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,50,59,214,66,7
429,25,3,2,False,2021-05-01T13:00:00Z,1.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,50,47,273,62,15
429,34,5,1,False,2021-05-08T15:30:00Z,2.0,2.0,5,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,4,50,55,341,65,10
429,44,4,7,True,2021-05-12T16:30:00Z,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,3,50,15,360,26,11
429,53,1,6,False,2021-05-17T16:30:00Z,3.0,1.0,7,90,0,1,0,3,0,0,0,0,0,0,1,1,1,2,1,3,7,50,18,379,38,20
429,62,2,3,True,2021-05-23T13:00:00Z,2.0,1.0,8,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,9,50,48,433,56,8
429,72,13,3,False,2021-07-04T13:00:00Z,1.0,1.0,9,90,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,14,5,51,66,511,75,9
429,77,6,1,True,2021-07-12T17:00:00Z,2.0,3.0,10,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,4,51,42,556,58,16
429,81,12,2,False,2021-07-18T15:30:00Z,2.0,0.0,11,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,7,51,17,577,32,15
429,92,7,2,True,2021-07-25T13:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,9,51,47,628,69,22
429,102,14,8,True,2021-08-01T15:30:00Z,1.0,0.0,13,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,12,4,51,28,657,44,16
429,110,9,3,False,2021-08-09T17:00:00Z,1.0,2.0,14,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,3,51,25,683,45,20
429,116,15,3,True,2021-08-14T15:30:00Z,1.0,1.0,15,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,5,6,51,79,765,94,15
429,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,36,803,63,27
