element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
430,6,14,0,False,2021-04-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,32,0,0
430,16,5,2,True,2021-04-19T17:00:00Z,1,3,2,64,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,38,2,2
430,22,7,1,True,2021-04-25T13:00:00Z,1,3,3,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,40,4,4
430,30,11,6,False,2021-05-02T13:00:00Z,1,2,4,65,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,50,2,43,3,1
430,38,1,2,False,2021-05-09T15:30:00Z,3,2,5,63,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,50,41,88,52,11
430,45,2,1,True,2021-05-12T16:30:00Z,1,3,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50,11,100,20,9
430,55,9,1,True,2021-05-17T16:30:00Z,2,1,7,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,50,33,134,43,10
430,59,6,1,False,2021-05-23T15:30:00Z,3,1,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,-17,120,5,22
430,72,10,0,True,2021-07-04T13:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-6,117,7,13
430,73,12,0,False,2021-07-10T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-10,107,1,11
430,84,15,6,False,2021-07-19T17:00:00Z,1,1,11,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,50,-14,93,0,14
430,94,4,7,True,2021-07-26T17:00:00Z,2,0,12,87,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,50,2,95,7,5
430,98,16,2,False,2021-07-31T15:30:00Z,1,1,13,65,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,50,141,238,152,11
430,111,3,1,True,2021-08-09T17:00:00Z,0,0,14,62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50,25,265,51,26
430,119,8,2,True,2021-08-16T17:00:00Z,1,0,15,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-16,250,15,31
430,125,4,6,False,2021-08-23T17:00:00Z,1,2,16,45,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,50,-29,221,8,37
