element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
434,2,8,0,False,2021-04-10T15:30:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
434,15,12,0,True,2021-04-19T17:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,58,35,4
434,24,16,0,True,2021-04-26T16:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,105,49,8
434,27,15,0,False,2021-05-02T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,122,24,8
434,35,6,0,True,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,158,52,20
434,44,10,0,False,2021-05-12T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1,159,8,9
434,52,3,0,True,2021-05-17T16:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,161,13,12
434,60,7,0,False,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-3,158,8,11
434,69,5,0,True,2021-07-05T17:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-11,148,7,18
434,80,11,0,False,2021-07-11T15:30:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-11,138,0,11
434,86,14,0,True,2021-07-18T16:00:00Z,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-6,133,1,7
434,94,13,0,False,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-4,131,1,5
434,100,9,0,True,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2,129,4,6
434,109,2,0,True,2021-08-08T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-3,126,3,6
434,117,1,0,False,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-2,124,4,6
434,125,13,0,True,2021-08-23T17:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-4,122,4,8
