element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
444,45,2,0,True,2021-05-12T16:30:00Z,1.0,3.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
444,55,9,0,True,2021-05-17T16:30:00Z,2.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,1,0
444,59,6,0,False,2021-05-23T15:30:00Z,3.0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
444,72,10,0,True,2021-07-04T13:00:00Z,1.0,1.0,9,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,45,0,1,0,0
444,73,12,1,False,2021-07-10T15:30:00Z,2.0,1.0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,2,1,0
444,84,15,1,False,2021-07-19T17:00:00Z,1.0,1.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1,3,1,0
444,94,4,8,True,2021-07-26T17:00:00Z,2.0,0.0,12,62,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,45,0,3,0,0
444,98,16,2,False,2021-07-31T15:30:00Z,1.0,1.0,13,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,45,16,19,17,1
444,111,3,3,True,2021-08-09T17:00:00Z,0.0,0.0,14,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,45,3,22,3,0
444,119,8,1,True,2021-08-16T17:00:00Z,1.0,0.0,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,-2,21,1,3
444,125,4,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2,19,1,3
