element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
47,1,1,1,False,2021-04-10T13:00:00Z,3,2,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,548,0,0
47,9,14,1,True,2021-04-17T13:00:00Z,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,-45,560,12,57
47,18,12,1,False,2021-04-25T15:30:00Z,2,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,-52,512,3,55
47,28,6,0,True,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-61,458,2,63
47,33,3,0,True,2021-05-08T13:00:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-44,415,1,45
47,45,13,0,False,2021-05-12T16:30:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-23,394,2,25
47,50,7,0,True,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-19,375,0,19
47,62,10,0,False,2021-05-23T13:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-20,355,0,20
47,68,15,0,True,2021-07-04T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-2,355,5,7
47,75,16,4,True,2021-07-11T13:00:00Z,5,1,10,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,61,-1,354,1,2
47,88,8,1,False,2021-07-18T13:00:00Z,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,-2,352,3,5
47,90,9,4,True,2021-07-25T15:30:00Z,2,1,12,71,0,0,0,1,0,0,0,0,0,0,2,0,1,2,2,0,2,61,-2,350,2,4
47,104,11,0,False,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,353,4,2
47,109,4,4,False,2021-08-08T15:30:00Z,0,0,14,81,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,9,61,-3,350,1,4
47,114,5,2,True,2021-08-15T15:30:00Z,0,2,15,56,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,61,1,351,4,3
47,124,5,2,False,2021-08-22T13:00:00Z,2,2,16,62,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,61,-5,347,0,5
