element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
54,1,1,0,False,2021-04-10T13:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,200,0,0
54,9,14,1,True,2021-04-17T13:00:00Z,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,-23,183,8,31
54,18,12,0,False,2021-04-25T15:30:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,-29,155,1,30
54,28,6,1,True,2021-05-01T15:30:00Z,1,1,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,84,-22,135,1,23
54,33,3,1,True,2021-05-08T13:00:00Z,3,2,5,26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,84,-14,121,0,14
54,45,13,0,False,2021-05-12T16:30:00Z,1,3,6,58,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,83,-4,117,1,5
54,50,7,1,True,2021-05-16T15:30:00Z,2,2,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,-7,111,0,7
54,62,10,1,False,2021-05-23T13:00:00Z,2,1,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,-6,106,0,6
54,68,15,6,True,2021-07-04T15:30:00Z,1,1,9,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,82,-3,103,0,3
54,75,16,5,True,2021-07-11T13:00:00Z,5,1,10,78,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,82,6,110,7,1
54,88,8,7,False,2021-07-18T13:00:00Z,0,2,11,78,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1,2,5,82,28,138,30,2
54,90,9,1,True,2021-07-25T15:30:00Z,2,1,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82,16,155,35,19
54,104,11,0,False,2021-08-01T15:30:00Z,1,1,13,58,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,82,16,171,23,7
54,109,4,1,False,2021-08-08T15:30:00Z,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,-10,161,4,14
54,114,5,0,True,2021-08-15T15:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,-16,145,1,17
54,124,5,0,False,2021-08-22T13:00:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,-20,126,1,21
