element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
60,5,9,0,False,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,125,0,0
60,13,15,0,True,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-19,132,2,21
60,17,6,0,False,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-10,122,2,12
60,25,10,0,True,2021-05-01T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-11,112,1,12
60,33,2,1,False,2021-05-08T13:00:00Z,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-6,107,0,6
60,43,5,0,True,2021-05-12T16:30:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2,106,0,2
60,52,4,0,False,2021-05-17T16:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-8,98,0,8
60,58,11,0,False,2021-05-22T15:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-4,94,0,4
60,71,14,4,True,2021-07-04T15:30:00Z,2,1,9,71,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,9,42,-2,92,1,3
60,78,1,2,False,2021-07-10T13:00:00Z,4,0,10,90,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,8,9,42,10,102,13,3
60,83,7,2,False,2021-07-19T17:00:00Z,5,1,11,90,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,7,9,42,30,134,33,3
60,91,16,6,True,2021-07-24T15:30:00Z,2,0,12,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,42,85,223,94,9
60,101,8,3,True,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,10,8,42,166,392,188,22
60,111,13,7,False,2021-08-09T17:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,7,42,116,508,151,35
60,115,12,4,True,2021-08-16T17:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,7,42,40,548,63,23
60,127,8,3,False,2021-08-22T15:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,42,29,577,99,70
