element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
74,5,9,0,False,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,82,0,0
74,13,15,1,True,2021-04-18T15:30:00Z,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-10,76,0,10
74,17,6,0,False,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-7,69,0,7
74,25,10,1,True,2021-05-01T13:00:00Z,1,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,-13,56,0,13
74,33,2,1,False,2021-05-08T13:00:00Z,3,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,-4,52,1,5
74,43,5,1,True,2021-05-12T16:30:00Z,0,2,6,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,53,0,52,0,0
74,52,4,1,False,2021-05-17T16:30:00Z,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-3,49,0,3
74,58,11,1,False,2021-05-22T15:30:00Z,3,0,8,36,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,2,53,-1,48,0,1
74,71,14,5,True,2021-07-04T15:30:00Z,2,1,9,80,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,52,-1,47,0,1
74,78,1,2,False,2021-07-10T13:00:00Z,4,0,10,90,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,4,52,-2,45,0,2
74,83,7,1,False,2021-07-19T17:00:00Z,5,1,11,45,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,52,1,46,2,1
74,91,16,4,True,2021-07-24T15:30:00Z,2,0,12,69,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,6,52,0,46,3,3
74,101,8,7,True,2021-08-02T17:00:00Z,1,2,13,85,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,2,1,52,4,50,6,2
74,111,13,3,False,2021-08-09T17:00:00Z,0,0,14,83,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,2,52,9,59,9,0
74,115,12,2,True,2021-08-16T17:00:00Z,0,1,15,83,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,4,52,0,59,2,2
74,127,8,2,False,2021-08-22T15:30:00Z,1,1,16,67,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,1,52,-1,58,2,3
