element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
80,5,9,2,False,2021-04-11T15:30:00Z,1,1,1,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1156,0,0
80,13,15,6,True,2021-04-18T15:30:00Z,1,0,2,90,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,55,180,1484,243,63
80,17,6,7,False,2021-04-24T13:00:00Z,1,2,3,79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,650,2216,834,184
80,25,10,2,True,2021-05-01T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1369,3699,1464,95
80,33,2,5,False,2021-05-08T13:00:00Z,3,2,5,85,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,56,204,3948,505,301
80,43,5,2,True,2021-05-12T16:30:00Z,0,2,6,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,202,4165,365,163
80,52,4,13,False,2021-05-17T16:30:00Z,2,2,7,81,2,0,0,2,0,0,0,0,0,0,1,0,0,2,1,1,2,56,-335,3842,183,518
80,58,11,2,False,2021-05-22T15:30:00Z,3,0,8,90,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,3,57,772,4652,876,104
80,71,14,7,True,2021-07-04T15:30:00Z,2,1,9,80,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,58,330,5021,591,261
80,78,1,2,False,2021-07-10T13:00:00Z,4,0,10,84,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,200,5241,429,229
80,83,7,7,False,2021-07-19T17:00:00Z,5,1,11,90,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,59,326,5588,531,205
80,91,16,5,True,2021-07-24T15:30:00Z,2,0,12,90,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1012,6627,1200,188
80,101,8,2,True,2021-08-02T17:00:00Z,1,2,13,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1344,8002,1400,56
80,111,13,2,False,2021-08-09T17:00:00Z,0,0,14,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,106,8123,458,352
80,115,12,2,True,2021-08-16T17:00:00Z,0,1,15,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-667,7463,155,822
80,127,8,7,False,2021-08-22T15:30:00Z,1,1,16,67,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,-545,6931,187,732
