element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
85,2,8,0,False,2021-04-10T15:30:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,570,0,0
85,15,12,0,True,2021-04-19T17:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-105,465,0,105
85,24,16,0,True,2021-04-26T16:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-63,402,0,63
85,27,15,0,False,2021-05-02T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-21,381,0,21
85,35,6,0,True,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-15,366,0,15
85,44,10,0,False,2021-05-12T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-8,358,0,8
85,52,3,0,True,2021-05-17T16:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-7,351,0,7
85,60,7,0,False,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-9,342,0,9
85,69,5,3,True,2021-07-05T17:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,9,5,59,112,456,138,26
85,80,11,3,False,2021-07-11T15:30:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,6,59,176,632,184,8
85,86,14,3,True,2021-07-18T16:00:00Z,3,2,11,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,11,7,59,39,676,63,24
85,94,13,0,False,2021-07-26T17:00:00Z,2,0,12,90,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,5,3,59,-12,664,21,33
85,100,9,2,True,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,3,59,-55,609,1,56
85,109,2,7,True,2021-08-08T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,2,59,-52,557,3,55
85,117,1,2,False,2021-08-14T13:00:00Z,2,3,15,90,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,12,5,59,-16,541,3,19
85,125,13,2,True,2021-08-23T17:00:00Z,1,2,16,86,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,7,9,59,-17,526,5,22
