element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
89,2,8,7,False,2021-04-10T15:30:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,7,50,0,301,0,0
89,15,12,7,True,2021-04-19T17:00:00Z,2.0,0.0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,5,50,79,532,108,29
89,24,16,1,True,2021-04-26T16:30:00Z,2.0,3.0,3,72,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,50,717,1307,779,62
89,27,15,2,False,2021-05-02T13:00:00Z,1.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,50,-15,1316,90,105
89,35,6,3,True,2021-05-08T13:00:00Z,1.0,1.0,5,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,50,-124,1202,36,160
89,44,10,6,False,2021-05-12T16:30:00Z,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,-52,1152,28,80
89,52,3,2,True,2021-05-17T16:30:00Z,2.0,2.0,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,4,50,-43,1112,44,87
89,60,7,8,False,2021-05-23T15:30:00Z,0.0,0.0,8,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,7,8,50,-60,1056,9,69
89,69,5,0,True,2021-07-05T17:00:00Z,0.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-32,1033,59,91
89,80,11,0,False,2021-07-11T15:30:00Z,2.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-278,757,5,283
89,86,14,0,True,2021-07-18T16:00:00Z,3.0,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-149,608,0,149
89,94,13,0,False,2021-07-26T17:00:00Z,2.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-71,537,0,71
89,100,9,0,True,2021-08-02T17:00:00Z,1.0,2.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-24,513,0,24
89,109,2,0,True,2021-08-08T15:30:00Z,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-12,501,0,12
89,117,1,0,False,2021-08-14T13:00:00Z,2.0,3.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-18,483,0,18
89,125,13,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-16,467,0,16
