element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
8,1,2,2,True,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,7,75,0,4481,0,0
8,10,6,1,False,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,3,75,-164,4431,36,200
8,21,11,3,True,2021-04-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,7,75,-380,4062,61,441
8,31,7,6,False,2021-05-03T16:30:00Z,3,1,4,90,0,1,0,3,0,0,0,0,0,0,1,1,1,2,1,3,8,75,-274,3792,35,309
8,38,13,0,True,2021-05-09T15:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,-110,3687,112,222
8,46,12,4,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,5,8,74,-309,3381,40,349
8,53,10,0,True,2021-05-17T16:30:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,514,3900,663,149
8,103,5,3,True,2021-05-20T16:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,5,74,514,3900,663,149
8,64,8,0,False,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,-341,3562,12,353
8,70,9,1,False,2021-07-03T13:00:00Z,3,2,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,73,-406,3159,13,419
8,78,3,9,True,2021-07-10T13:00:00Z,4,0,10,5,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,73,-319,2840,4,323
8,82,16,7,False,2021-07-17T13:00:00Z,0,5,11,90,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,5,10,72,-90,2754,38,128
8,93,14,10,False,2021-07-24T13:00:00Z,0,2,12,71,0,1,1,0,0,0,1,0,0,0,1,1,0,2,1,0,7,72,-4,2753,55,59
8,107,15,7,False,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8,72,108,2802,148,40
8,117,4,4,True,2021-08-14T13:00:00Z,2,3,15,90,0,1,0,3,0,0,0,0,0,1,1,1,2,3,0,5,7,73,502,3306,546,44
8,126,16,1,True,2021-08-21T13:00:00Z,3,0,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,73,4,3315,161,157
