element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
91,2,8,4,False,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,6,6,50,0,1554,0,0
91,15,12,3,True,2021-04-19T17:00:00Z,2,0,2,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,50,-23,1661,57,80
91,24,16,1,True,2021-04-26T16:30:00Z,2,3,3,90,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,4,4,50,-7,1689,69,76
91,27,15,1,False,2021-05-02T13:00:00Z,1,1,4,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,50,-67,1633,14,81
91,35,6,1,True,2021-05-08T13:00:00Z,1,1,5,78,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,2,50,-135,1500,8,143
91,44,10,0,False,2021-05-12T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-111,1391,6,117
91,52,3,0,True,2021-05-17T16:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-120,1271,2,122
91,60,7,4,False,2021-05-23T15:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,8,50,-66,1206,1,67
91,69,5,2,True,2021-07-05T17:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,49,-40,1168,2,42
91,80,11,3,False,2021-07-11T15:30:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,5,4,49,-14,1154,5,19
91,86,14,3,True,2021-07-18T16:00:00Z,3,2,11,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,7,49,-9,1147,5,14
91,94,13,0,False,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-10,1137,10,20
91,100,9,1,True,2021-08-02T17:00:00Z,1,2,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,49,-16,1122,2,18
91,109,2,3,True,2021-08-08T15:30:00Z,0,0,14,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,11,5,49,-18,1105,2,20
91,117,1,2,False,2021-08-14T13:00:00Z,2,3,15,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,49,-25,1082,1,26
91,125,13,2,True,2021-08-23T17:00:00Z,1,2,16,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,49,-13,1069,4,17
