element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
92,2,8,4,False,2021-04-10T15:30:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,2,5,55,0,5750,0,0
92,15,12,4,True,2021-04-19T17:00:00Z,2.0,0.0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,8,55,-70,5934,137,207
92,24,16,6,True,2021-04-26T16:30:00Z,2.0,3.0,3,63,0,1,0,3,0,0,0,0,0,0,1,0,0,1,1,0,1,55,-19,5961,260,279
92,27,15,1,False,2021-05-02T13:00:00Z,1.0,1.0,4,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,55,12,6026,208,196
92,35,6,1,True,2021-05-08T13:00:00Z,1.0,1.0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,-433,5614,71,504
92,44,10,4,False,2021-05-12T16:30:00Z,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,10,55,-463,5154,12,475
92,52,3,3,True,2021-05-17T16:30:00Z,2.0,2.0,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,10,54,-284,4876,41,325
92,60,7,4,False,2021-05-23T15:30:00Z,0.0,0.0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,9,54,-194,4687,40,234
92,69,5,3,True,2021-07-05T17:00:00Z,0.0,1.0,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,7,53,-162,4539,25,187
92,80,11,6,False,2021-07-11T15:30:00Z,2.0,3.0,10,90,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,53,-141,4400,23,164
92,86,14,0,True,2021-07-18T16:00:00Z,3.0,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-387,4019,53,440
92,94,13,0,False,2021-07-26T17:00:00Z,2.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-773,3246,0,773
92,100,9,0,True,2021-08-02T17:00:00Z,1.0,2.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-249,2997,0,249
92,109,2,0,True,2021-08-08T15:30:00Z,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-103,2895,0,103
92,117,1,0,False,2021-08-14T13:00:00Z,2.0,3.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-98,2798,0,98
92,125,13,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-81,2718,0,81
