element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
93,2,8,4,False,2021-04-10T15:30:00Z,0.0,0.0,1,84,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,50,0,66,0,0
93,15,12,3,True,2021-04-19T17:00:00Z,2.0,0.0,2,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4,8,50,-6,79,2,8
93,24,16,3,True,2021-04-26T16:30:00Z,2.0,3.0,3,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,11,50,7,89,12,5
93,27,15,3,False,2021-05-02T13:00:00Z,1.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,10,50,1,96,4,3
93,35,6,2,True,2021-05-08T13:00:00Z,1.0,1.0,5,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,6,50,5,104,10,5
93,44,10,4,False,2021-05-12T16:30:00Z,0.0,0.0,6,87,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,6,50,-2,104,4,6
93,52,3,2,True,2021-05-17T16:30:00Z,2.0,2.0,7,55,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,6,50,5,112,12,7
93,60,7,0,False,2021-05-23T15:30:00Z,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2,112,2,4
93,69,5,1,True,2021-07-05T17:00:00Z,0.0,1.0,9,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,-12,100,0,12
93,80,11,7,False,2021-07-11T15:30:00Z,2.0,3.0,10,84,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,50,-3,97,1,4
93,86,14,6,True,2021-07-18T16:00:00Z,3.0,2.0,11,90,0,1,0,2,0,0,0,0,0,0,1,0,0,1,1,2,4,50,27,126,30,3
93,94,13,3,False,2021-07-26T17:00:00Z,2.0,0.0,12,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,10,50,86,216,93,7
93,100,9,1,True,2021-08-02T17:00:00Z,1.0,2.0,13,69,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,50,21,241,33,12
93,109,2,0,True,2021-08-08T15:30:00Z,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-30,212,3,33
93,117,1,3,False,2021-08-14T13:00:00Z,2.0,3.0,15,90,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,6,6,50,-19,193,4,23
93,125,13,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2,194,10,12
