element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
95,2,8,0,False,2021-04-10T15:30:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,137,0,0
95,15,12,6,True,2021-04-19T17:00:00Z,2,0,2,62,0,1,1,0,0,0,1,0,0,0,1,0,1,2,1,2,4,80,-36,103,0,36
95,24,16,6,True,2021-04-26T16:30:00Z,2,3,3,90,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,3,80,59,177,68,9
95,27,15,2,False,2021-05-02T13:00:00Z,1,1,4,63,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,80,91,294,98,7
95,35,6,3,True,2021-05-08T13:00:00Z,1,1,5,78,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,8,80,-3,301,35,38
95,44,10,1,False,2021-05-12T16:30:00Z,0,0,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,-15,293,15,30
95,52,3,0,True,2021-05-17T16:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,-32,261,8,40
95,60,7,0,False,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,-43,222,3,46
95,69,5,2,True,2021-07-05T17:00:00Z,0,1,9,83,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,80,-11,211,9,20
95,80,11,2,False,2021-07-11T15:30:00Z,2,3,10,65,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,80,10,221,18,8
95,86,14,2,True,2021-07-18T16:00:00Z,3,2,11,65,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,80,1,223,8,7
95,94,13,1,False,2021-07-26T17:00:00Z,2,0,12,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,80,-1,223,8,9
95,100,9,1,True,2021-08-02T17:00:00Z,1,2,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,80,-6,217,3,9
95,109,2,3,True,2021-08-08T15:30:00Z,0,0,14,69,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,80,-17,200,0,17
95,117,1,0,False,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,-5,195,0,5
95,125,13,1,True,2021-08-23T17:00:00Z,1,2,16,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,80,-3,194,0,3
