element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
99,2,8,4,False,2021-04-10T15:30:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,1,6,85,0,5999,0,0
99,15,12,5,True,2021-04-19T17:00:00Z,2.0,0.0,2,90,0,0,1,0,0,0,0,0,0,0,2,0,3,4,0,0,2,85,-246,6004,95,341
99,24,16,4,True,2021-04-26T16:30:00Z,2.0,3.0,3,90,0,0,0,3,0,0,0,0,0,0,1,1,1,2,1,0,6,85,-60,6005,252,312
99,27,15,9,False,2021-05-02T13:00:00Z,1.0,1.0,4,90,1,0,0,1,0,0,0,0,0,0,2,0,3,2,1,0,2,85,-197,5841,135,332
99,35,6,6,True,2021-05-08T13:00:00Z,1.0,1.0,5,90,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,85,17,5904,336,319
99,44,10,3,False,2021-05-12T16:30:00Z,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,85,302,6251,413,111
99,52,3,3,True,2021-05-17T16:30:00Z,2.0,2.0,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,8,85,-228,6042,257,485
99,60,7,4,False,2021-05-23T15:30:00Z,0.0,0.0,8,90,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,2,85,-290,5774,153,443
99,69,5,2,True,2021-07-05T17:00:00Z,0.0,1.0,9,90,0,0,0,1,0,1,0,0,0,0,1,1,3,2,0,0,7,84,203,6002,492,289
99,80,11,10,False,2021-07-11T15:30:00Z,2.0,3.0,10,90,0,2,0,2,0,0,0,0,0,0,1,1,1,3,0,0,6,84,36,6043,276,240
99,86,14,2,True,2021-07-18T16:00:00Z,3.0,2.0,11,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,5,85,500,6558,643,143
99,94,13,3,False,2021-07-26T17:00:00Z,2.0,0.0,12,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,8,85,-115,6458,266,381
99,100,9,3,True,2021-08-02T17:00:00Z,1.0,2.0,13,90,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,6,85,-467,5996,85,552
99,109,2,4,True,2021-08-08T15:30:00Z,0.0,0.0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,6,84,-692,5307,22,714
99,117,1,10,False,2021-08-14T13:00:00Z,2.0,3.0,15,90,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,84,-345,4968,63,408
99,125,13,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,928,5921,1071,143
