code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win
993,0,,1,0,Malmö FF,0,0,0,MFF,,,False,0
1987,0,,2,0,Hammarby,0,0,0,HAM,,,False,0
3056,0,,3,0,IK Sirius,0,0,0,IKS,,,False,0
244,0,,4,0,IFK Göteborg,0,0,0,GBG,,,False,0
375,0,,5,0,IF Elfsborg,0,0,0,IFE,,,False,0
1959,0,,6,0,BK Häcken,0,0,0,BKH,,,False,0
1406,0,,7,0,Djurgården,0,0,0,DIF,,,False,0
2596,0,,8,0,Örebro SK,0,0,0,ÖSK,,,False,0
483,0,,9,0,IFK Norrköping,0,0,0,NOR,,,False,0
2594,0,,10,0,Kalmar FF,0,0,0,KFF,,,False,0
5576,0,,11,0,Östersunds FK,0,0,0,ÖFK,,,False,0
195,0,,12,0,AIK,0,0,0,AIK,,,False,0
6810,0,,13,0,Varbergs BoIS,0,0,0,VAR,,,False,0
2360,0,,14,0,Mjällby AIF,0,0,0,MAIF,,,False,0
466,0,,15,0,Halmstads BK,0,0,0,HBK,,,False,0
2961,0,,16,0,Degerfors IF,0,0,0,DEG,,,False,0
